"ISIR_Field","Discrepancy_Evaluation_Script","Additional_Doc_Req_Script","Required_Documents_Script","Aid_Year","Additional_Doc_Req_Msg","Manual_Discrepancy_Clear_Req","Description"
"ALIENREGISTRATIONNUMBER","","","","2014-2015","","false",""
"AREYOUONACTIVEDUTYINUSARMEDFORCES","","","","2014-2015","","false",""
"ASOFTODAYANEMANCIPATEDMINOR","","","","2014-2015","","false",""
"ASOFTODAYINLEGALGUARDIANSHIP","","","","2014-2015","","false",""
"ATRISKOFHOMELESSNESS","","","","2014-2015","","false",""
"BORNBEFORE","","","","2014-2015","","false",""
"CITIZENSHIPSTATUS","","","","2014-2015","","false",""
"DATEAPPLICATIONCOMPLETED","","","","2014-2015","","false",""
"DATEOFBIRTH","","","","2014-2015","","false",""
"DEGREECERTIFICATE","","","","2014-2015","","false",""
"DEPENDENCYOVERRIDE","","","","2014-2015","","false",""
"DEPENDENCYSTATUS","","","","2014-2015","","false",""
"DOYOUWANTSELECTIVESERVICETOREGISTERYOU","","","","2014-2015","","false",""
"DRIVERLICENSENUMBER","","","","2014-2015","","false",""
"DRIVERLICENSESTATE","","","","2014-2015","","false",""
"DRUGCONVICTIONAFFECTINGELIGIBILITY","","","","2014-2015","","false",""
"EMAILADDRESS","","","","2014-2015","","false",""
"FAAFEDERALSCHOOLCODE","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE1","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE10","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE10HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE1HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE2","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE2HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE3","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE3HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE4","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE4HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE5","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE5HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE6","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE6HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE7","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE7HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE8","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE8HOUSINGPLANS","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE9","","","","2014-2015","","false",""
"FEDERALSCHOOLCODE9HOUSINGPLANS","","","","2014-2015","","false",""
"FIRSTBACHELORSDEGREEBY","","","","2014-2015","","false",""
"GRADELEVELINCOLLEGE","","","","2014-2015","","false",""
"HAVECHILDRENYOUSUPPORT","","","","2014-2015","","false",""
"HAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","","","","2014-2015","","false",""
"HIGHSCHOOLCITY","","","","2014-2015","","false",""
"HIGHSCHOOLCODE","","","","2014-2015","","false",""
"HIGHSCHOOLNAME","","","","2014-2015","","false",""
"HIGHSCHOOLSTATE","","","","2014-2015","","false",""
"HSDIPLOMAOREQUIVALENT","","","","2014-2015","","false",""
"INTERESTEDINWORKSTUDY","","","","2014-2015","","false",""
"ISSTUDENTMARRIED","","","","2014-2015","","false",""
"LEGALSTATERESIDENCE","","","","2014-2015","","false",""
"MAILINGADDRESS","","","","2014-2015","","false",""
"MARITALSTATUSDATE","","","","2014-2015","","false",""
"ORIGINALID","","","","2014-2015","","false",""
"ORPHANWARDOFCOURTORFOSTERCARE","","","","2014-2015","","false",""
"PARENT1DATEOFBIRTH","","","","2014-2015","","false",""
"PARENT1FIRSTNAMEINITIAL","","","","2014-2015","","false",""
"PARENT1HIGHESTGRADELEVELCOMPLETED","","","","2014-2015","","false",""
"PARENT1INCOMEEARNEDFROMWORK","","","","2014-2015","","false",""
"PARENT1LASTNAME","","","","2014-2015","","false",""
"PARENT1SOCIALSECURITYNUMBER","","","","2014-2015","","false",""
"PARENT2DATEOFBIRTH","","","","2014-2015","","false",""
"PARENT2FIRSTNAMEINITIAL","","","","2014-2015","","false",""
"PARENT2HIGHESTGRADELEVELCOMPLETED","","","","2014-2015","","false",""
"PARENT2INCOMEEARNEDFROMWORK","","","","2014-2015","","false",""
"PARENT2LASTNAME","","","","2014-2015","","false",""
"PARENT2SOCIALSECURITYNUMBER","","","","2014-2015","","false",""
"PARENTASSETTHRESHOLDEXCEEDED","","","","2014-2015","","false",""
"PARENTDISLOCATEDWORKER","","","","2014-2015","","false",""
"PARENTFOODSTAMPBENEFITS","","","","2014-2015","","false",""
"PARENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","","","","2014-2015","","false",""
"PARENTSADJUSTEDGROSSINCOMEFROMIRSFORM","","","","2014-2015","","false",""
"PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH","","","","2014-2015","","false",""
"PARENTSCASHSAVINGSANDCHECKING","","","","2014-2015","","false",""
"PARENTSCHILDSUPPORTPAID","","","","2014-2015","","false",""
"PARENTSCHILDSUPPORTRECEIVED","","","","2014-2015","","false",""
"PARENTSCOMBATPAY","","","","2014-2015","","false",""
"PARENTSCOOPERATIVEEDUCATION","","","","2014-2015","","false",""
"PARENTSEDUCATIONALCREDITS","","","","2014-2015","","false",""
"PARENTSELIGIBLETOFILE1040AOR1040EZ","","","","2014-2015","","false",""
"PARENTSEMAILADDRESS","","","","2014-2015","","false",""
"PARENTSEXEMPTIONSCLAIMED","","","","2014-2015","","false",""
"PARENTSGRANTSCHOLARSHIPAID","","","","2014-2015","","false",""
"PARENTSINTERESTINCOME","","","","2014-2015","","false",""
"PARENTSINVESTMENTNETWORTH","","","","2014-2015","","false",""
"PARENTSIRADISTRIBUTIONS","","","","2014-2015","","false",""
"PARENTSIRAPAYMENTS","","","","2014-2015","","false",""
"PARENTSIRSREQUESTFLAG","","","","2014-2015","","false",""
"PARENTSLEGALRESIDENCEDATE","","","","2014-2015","","false",""
"PARENTSLEGALRESIDENTSBEFORE","","","","2014-2015","","false",""
"PARENTSMARITALSTATUS","","","","2014-2015","","false",""
"PARENTSMARITALSTATUSDATE","","","","2014-2015","","false",""
"PARENTSMILITARYCLERGYALLOWANCES","","","","2014-2015","","false",""
"PARENTSNEEDBASEDEMPLOYMENT","","","","2014-2015","","false",""
"PARENTSNUMBERINCOLLEGE","","","","2014-2015","","false",""
"PARENTSNUMBEROFFAMILYMEMBERS","","","","2014-2015","","false",""
"PARENTSOTHERUNTAXEDINCOME","","","","2014-2015","","false",""
"PARENTSPENSIONPAYMENTS","","","","2014-2015","","false",""
"PARENTSSTATEOFLEGALRESIDENCE","","","","2014-2015","","false",""
"PARENTSTAXRETURNCOMPLETED","","","","2014-2015","","false",""
"PARENTSTYPEOFTAXFORMUSED","","","","2014-2015","","false",""
"PARENTSUNTAXEDPENSIONS","","","","2014-2015","","false",""
"PARENTSUPPLEMENTALSECURITYINCOMEBENEFITS","","","","2014-2015","","false",""
"PARENTSUSINCOMETAXPAID","","","","2014-2015","","false",""
"PARENTSVETERANSNONEDUCATIONBENEFITS","","","","2014-2015","","false",""
"PARENTTANFBENEFITS","","","","2014-2015","","false",""
"PARENTWICBENEFITS","","","","2014-2015","","false",""
"PERMANENTCITY","","","","2014-2015","","false",""
"PERMANENTPHONENO","","","","2014-2015","","false",""
"PERMANENTSTATE","","","","2014-2015","","false",""
"PERMANENTZIPCODE","","","","2014-2015","","false",""
"PREPARERSEMPLOYERIDENTIFICATIONNUMBEREIN","","","","2014-2015","","false",""
"PREPARERSSIGNATURE","","","","2014-2015","","false",""
"PREPARERSSOCIALSECURITYNUMBER","","","","2014-2015","","false",""
"PRIMARYEFC","","","","2014-2015","","false",""
"PRIMARYEFCTYPE","","","","2014-2015","","false",""
"REJECTOVERRIDE3","","","","2014-2015","","false",""
"SECONDARYEFC","","","","2014-2015","","false",""
"SECONDARYEFCTYPE","","","","2014-2015","","false",""
"SIGNATUREREJECTEFC","","","","2014-2015","","false",""
"SIGNEDBY","","","","2014-2015","","false",""
"SPECIALCIRCUMSTANCESFLAG","","","","2014-2015","","false",""
"SPOUSESINCOMEEARNEDFROMWORK","","","","2014-2015","","false",""
"STUDENTASSETTHRESHOLDEXCEEDED","","","","2014-2015","","false",""
"STUDENTELIGIBLETOFILE1040AOR1040EZ","","","","2014-2015","","false",""
"STUDENTFIRSTNAME","","","","2014-2015","","false",""
"STUDENTFOODSTAMPBENEFITS","","","","2014-2015","","false",""
"STUDENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","","","","2014-2015","","false",""
"STUDENTLASTNAME","","","","2014-2015","","false",""
"STUDENTLEGALRESDATE","","","","2014-2015","","false",""
"STUDENTMARITALSTATUS","","","","2014-2015","","false",""
"STUDENTMIDDLEINITIAL","","","","2014-2015","","false",""
"STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM","","","","2014-2015","","false",""
"STUDENTSBUSINESSANDORINVESTMENTFARMNETWORTH","","","","2014-2015","","false",""
"STUDENTSCASHSAVINGSANDCHECKING","","","","2014-2015","","false",""
"STUDENTSCHILDSUPPORTPAID","","","","2014-2015","","false",""
"STUDENTSCHILDSUPPORTRECEIVED","","","","2014-2015","","false",""
"STUDENTSCOMBATPAY","","","","2014-2015","","false",""
"STUDENTSCOOPERATIVEEDUCATION","","","","2014-2015","","false",""
"STUDENTSCURRENTSOCIALSECURITYNUMBER","","","","2014-2015","","false",""
"STUDENTSEDUCATIONALCREDITS","","","","2014-2015","","false",""
"STUDENTSEX","","","","2014-2015","","false",""
"STUDENTSEXEMPTIONSCLAIMED","","","","2014-2015","","false",""
"STUDENTSGRANTSCHOLARSHIPAID","","","","2014-2015","","false",""
"STUDENTSINCOMEEARNEDFROMWORK","","","","2014-2015","","false",""
"STUDENTSINTERESTINCOME","","","","2014-2015","","false",""
"STUDENTSINVESTMENTNETWORTH","","","","2014-2015","","false",""
"STUDENTSIRADISTRIBUTIONS","","","","2014-2015","","false",""
"STUDENTSIRAPAYMENTS","","","","2014-2015","","false",""
"STUDENTSIRSREQUESTFLAG","","","","2014-2015","","false",""
"STUDENTSMILITARYCLERGYALLOWANCES","","","","2014-2015","","false",""
"STUDENTSNEEDBASEDEMPLOYMENT","","","","2014-2015","","false",""
"STUDENTSNUMBERINCOLLEGE","","","","2014-2015","","false",""
"STUDENTSNUMBEROFFAMILYMEMBERS","","","","2014-2015","","false",""
"STUDENTSOTHERNONREPORTEDMONEY","","","","2014-2015","","false",""
"STUDENTSOTHERUNTAXEDINCOME","","","","2014-2015","","false",""
"STUDENTSPENSIONPAYMENTS","","","","2014-2015","","false",""
"STUDENTSPOUSEDISLOCATEDWORKER","","","","2014-2015","","false",""
"STUDENTSSN","","","","2014-2015","","false",""
"STUDENTSTAXRETURNCOMPLETED","","","","2014-2015","","false",""
"STUDENTSTYPEOFTAXFORMUSED","","","","2014-2015","","false",""
"STUDENTSUNTAXEDPENSIONS","","","","2014-2015","","false",""
"STUDENTSUPPLEMENTALSECURITYINCOMEBENEFITS","","","","2014-2015","","false",""
"STUDENTSUSINCOMETAXPAID","","","","2014-2015","","false",""
"STUDENTSVETERANSNONEDUCATIONBENEFITS","","","","2014-2015","","false",""
"STUDENTTANFBENEFITS","","","","2014-2015","","false",""
"STUDENTWICBENEFITS","","","","2014-2015","","false",""
"STUNDENTSLEGALRESIDENCEBEFORE","","","","2014-2015","","false",""
"TRANSACTIONDATASOURCETYPECODE","","","","2014-2015","","false",""
"TRANSACTIONNUMBER","","","","2014-2015","","false",""
"TRANSACTIONRECEIPTDATE","","","","2014-2015","","false",""
"UNACCOMPANIEDYOUTHDETERMINEDBYHUD","","","","2014-2015","","false",""
"UNACCOMPANIEDYOUTHDETERMINEDBYSCHOOLDISTRICTLIAISON","","","","2014-2015","","false",""
"VETERANOFUSARMEDFORCES","","","","2014-2015","","false",""
"WORKINGONAMASTERSORDOCTORATEPROGRAM","","","","2014-2015","","false",""
"ALIENREGISTRATIONNUMBER","","","","2015-2016","","false",""
"AREYOUONACTIVEDUTYINUSARMEDFORCES","","","","2015-2016","","false",""
"ASOFTODAYANEMANCIPATEDMINOR","","","","2015-2016","","false",""
"ASOFTODAYINLEGALGUARDIANSHIP","","","","2015-2016","","false",""
"ATRISKOFHOMELESSNESS","","","","2015-2016","","false",""
"BORNBEFORE","","","","2015-2016","","false",""
"CITIZENSHIPSTATUS","","","","2015-2016","","false",""
"DATEAPPLICATIONCOMPLETED","","","","2015-2016","","false",""
"DATEOFBIRTH","","","","2015-2016","","false",""
"DEGREECERTIFICATE","","","","2015-2016","","false",""
"DEPENDENCYOVERRIDE","","","","2015-2016","","false",""
"DEPENDENCYSTATUS","","","","2015-2016","","false",""
"DOYOUWANTSELECTIVESERVICETOREGISTERYOU","","","","2015-2016","","false",""
"DRIVERLICENSENUMBER","","","","2015-2016","","false",""
"DRIVERLICENSESTATE","","","","2015-2016","","false",""
"DRUGCONVICTIONAFFECTINGELIGIBILITY","","","","2015-2016","","false",""
"EMAILADDRESS","","","","2015-2016","","false",""
"FAAFEDERALSCHOOLCODE","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE1","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE10","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE10HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE1HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE2","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE2HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE3","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE3HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE4","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE4HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE5","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE5HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE6","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE6HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE7","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE7HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE8","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE8HOUSINGPLANS","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE9","","","","2015-2016","","false",""
"FEDERALSCHOOLCODE9HOUSINGPLANS","","","","2015-2016","","false",""
"FIRSTBACHELORSDEGREEBY","","","","2015-2016","","false",""
"GRADELEVELINCOLLEGE","","","","2015-2016","","false",""
"HAVECHILDRENYOUSUPPORT","","","","2015-2016","","false",""
"HAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","","","","2015-2016","","false",""
"HIGHSCHOOLCITY","","","","2015-2016","","false",""
"HIGHSCHOOLCODE","","","","2015-2016","","false",""
"HIGHSCHOOLNAME","","","","2015-2016","","false",""
"HIGHSCHOOLSTATE","","","","2015-2016","","false",""
"HSDIPLOMAOREQUIVALENT","","","","2015-2016","","false",""
"INTERESTEDINWORKSTUDY","","","","2015-2016","","false",""
"ISSTUDENTMARRIED","","","","2015-2016","","false",""
"LEGALSTATERESIDENCE","","","","2015-2016","","false",""
"MAILINGADDRESS","","","","2015-2016","","false",""
"MARITALSTATUSDATE","","","","2015-2016","","false",""
"ORIGINALID","","","","2015-2016","","false",""
"ORPHANWARDOFCOURTORFOSTERCARE","","","","2015-2016","","false",""
"PARENT1DATEOFBIRTH","","","","2015-2016","","false",""
"PARENT1FIRSTNAMEINITIAL","","","","2015-2016","","false",""
"PARENT1HIGHESTGRADELEVELCOMPLETED","","","","2015-2016","","false",""
"PARENT1INCOMEEARNEDFROMWORK","","","","2015-2016","","false",""
"PARENT1LASTNAME","","","","2015-2016","","false",""
"PARENT1SOCIALSECURITYNUMBER","","","","2015-2016","","false",""
"PARENT2DATEOFBIRTH","","","","2015-2016","","false",""
"PARENT2FIRSTNAMEINITIAL","","","","2015-2016","","false",""
"PARENT2HIGHESTGRADELEVELCOMPLETED","","","","2015-2016","","false",""
"PARENT2INCOMEEARNEDFROMWORK","","","","2015-2016","","false",""
"PARENT2LASTNAME","","","","2015-2016","","false",""
"PARENT2SOCIALSECURITYNUMBER","","","","2015-2016","","false",""
"PARENTASSETTHRESHOLDEXCEEDED","","","","2015-2016","","false",""
"PARENTDISLOCATEDWORKER","","","","2015-2016","","false",""
"PARENTFOODSTAMPBENEFITS","","","","2015-2016","","false",""
"PARENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","","","","2015-2016","","false",""
"PARENTSADJUSTEDGROSSINCOMEFROMIRSFORM","","","","2015-2016","","false",""
"PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH","","","","2015-2016","","false",""
"PARENTSCASHSAVINGSANDCHECKING","","","","2015-2016","","false",""
"PARENTSCHILDSUPPORTPAID","","","","2015-2016","","false",""
"PARENTSCHILDSUPPORTRECEIVED","","","","2015-2016","","false",""
"PARENTSCOMBATPAY","","","","2015-2016","","false",""
"PARENTSCOOPERATIVEEDUCATION","","","","2015-2016","","false",""
"PARENTSEDUCATIONALCREDITS","","","","2015-2016","","false",""
"PARENTSELIGIBLETOFILE1040AOR1040EZ","","","","2015-2016","","false",""
"PARENTSEMAILADDRESS","","","","2015-2016","","false",""
"PARENTSEXEMPTIONSCLAIMED","","","","2015-2016","","false",""
"PARENTSGRANTSCHOLARSHIPAID","","","","2015-2016","","false",""
"PARENTSINTERESTINCOME","","","","2015-2016","","false",""
"PARENTSINVESTMENTNETWORTH","","","","2015-2016","","false",""
"PARENTSIRADISTRIBUTIONS","","","","2015-2016","","false",""
"PARENTSIRAPAYMENTS","","","","2015-2016","","false",""
"PARENTSIRSREQUESTFLAG","","","","2015-2016","","false",""
"PARENTSLEGALRESIDENCEDATE","","","","2015-2016","","false",""
"PARENTSLEGALRESIDENTSBEFORE","","","","2015-2016","","false",""
"PARENTSMARITALSTATUS","","","","2015-2016","","false",""
"PARENTSMARITALSTATUSDATE","","","","2015-2016","","false",""
"PARENTSMILITARYCLERGYALLOWANCES","","","","2015-2016","","false",""
"PARENTSNEEDBASEDEMPLOYMENT","","","","2015-2016","","false",""
"PARENTSNUMBERINCOLLEGE","","","","2015-2016","","false",""
"PARENTSNUMBEROFFAMILYMEMBERS","","","","2015-2016","","false",""
"PARENTSOTHERUNTAXEDINCOME","","","","2015-2016","","false",""
"PARENTSPENSIONPAYMENTS","","","","2015-2016","","false",""
"PARENTSSTATEOFLEGALRESIDENCE","","","","2015-2016","","false",""
"PARENTSTAXRETURNCOMPLETED","","","","2015-2016","","false",""
"PARENTSTYPEOFTAXFORMUSED","","","","2015-2016","","false",""
"PARENTSUNTAXEDPENSIONS","","","","2015-2016","","false",""
"PARENTSUPPLEMENTALSECURITYINCOMEBENEFITS","","","","2015-2016","","false",""
"PARENTSUSINCOMETAXPAID","","","","2015-2016","","false",""
"PARENTSVETERANSNONEDUCATIONBENEFITS","","","","2015-2016","","false",""
"PARENTTANFBENEFITS","","","","2015-2016","","false",""
"PARENTWICBENEFITS","","","","2015-2016","","false",""
"PERMANENTCITY","","","","2015-2016","","false",""
"PERMANENTPHONENO","","","","2015-2016","","false",""
"PERMANENTSTATE","","","","2015-2016","","false",""
