"ISIR_Field_Name","Aid_Year","Auto_Code_Clearing_Logic","Documents_Required","Additional_Notification_Message","Resolution_Required","Flag_Index"
"ALIENREGISTRATIONNUMBER","2014-2015","return true;","","","false","14"
"AREYOUONACTIVEDUTYINUSARMEDFORCES","2014-2015","return true;","","","false","65"
"ASOFTODAYANEMANCIPATEDMINOR","2014-2015","return true;","","","false","70"
"ASOFTODAYINLEGALGUARDIANSHIP","2014-2015","return true;","","","false","71"
"ATRISKOFHOMELESSNESS","2014-2015","return true;","","","false","74"
"BORNBEFORE","2014-2015","return true;","","","false","62"
"CITIZENSHIPSTATUS","2014-2015","return true;","","","false","13"
"DATEAPPLICATIONCOMPLETED","2014-2015","return true;","","","false","152"
"DATEOFBIRTH","2014-2015","return true;","","","false","8"
"DEGREECERTIFICATE","2014-2015","return true;","","","false","32"
"DEPENDENCYOVERRIDE","2014-2015","return true;","","","false","163"
"DOYOUWANTSELECTIVESERVICETOREGISTERYOU","2014-2015","return true;","","","false","21"
"DRIVERLICENSENUMBER","2014-2015","return true;","","","false","10"
"DRIVERLICENSESTATE","2014-2015","return true;","","","false","11"
"DRUGCONVICTIONAFFECTINGELIGIBILITY","2014-2015","return true;","","","false","22"
"EMAILADDRESS","2014-2015","return true;","","","false","12"
"FAAFEDERALSCHOOLCODE","2014-2015","return true;","","","false","165"
"FEDERALSCHOOLCODE1","2014-2015","return true;","","","false","132"
"FEDERALSCHOOLCODE10","2014-2015","return true;","","","false","150"
"FEDERALSCHOOLCODE10HOUSINGPLANS","2014-2015","return true;","","","false","151"
"FEDERALSCHOOLCODE1HOUSINGPLANS","2014-2015","return true;","","","false","133"
"FEDERALSCHOOLCODE2","2014-2015","return true;","","","false","134"
"FEDERALSCHOOLCODE2HOUSINGPLANS","2014-2015","return true;","","","false","135"
"FEDERALSCHOOLCODE3","2014-2015","return true;","","","false","136"
"FEDERALSCHOOLCODE3HOUSINGPLANS","2014-2015","return true;","","","false","137"
"FEDERALSCHOOLCODE4","2014-2015","return true;","","","false","138"
"FEDERALSCHOOLCODE4HOUSINGPLANS","2014-2015","return true;","","","false","139"
"FEDERALSCHOOLCODE5","2014-2015","return true;","","","false","140"
"FEDERALSCHOOLCODE5HOUSINGPLANS","2014-2015","return true;","","","false","141"
"FEDERALSCHOOLCODE6","2014-2015","return true;","","","false","142"
"FEDERALSCHOOLCODE6HOUSINGPLANS","2014-2015","return true;","","","false","143"
"FEDERALSCHOOLCODE7","2014-2015","return true;","","","false","144"
"FEDERALSCHOOLCODE7HOUSINGPLANS","2014-2015","return true;","","","false","145"
"FEDERALSCHOOLCODE8","2014-2015","return true;","","","false","146"
"FEDERALSCHOOLCODE8HOUSINGPLANS","2014-2015","return true;","","","false","147"
"FEDERALSCHOOLCODE9","2014-2015","return true;","","","false","148"
"FEDERALSCHOOLCODE9HOUSINGPLANS","2014-2015","return true;","","","false","149"
"FIRSTBACHELORSDEGREEBY","2014-2015","return true;","","","false","30"
"GRADELEVELINCOLLEGE","2014-2015","return true;","","","false","31"
"HAVECHILDRENYOUSUPPORT","2014-2015","return true;","","","false","67"
"HAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","2014-2015","return true;","","","false","68"
"HIGHSCHOOLCITY","2014-2015","return true;","","","false","27"
"HIGHSCHOOLNAME","2014-2015","return true;","","","false","26"
"HIGHSCHOOLSTATE","2014-2015","return true;","","","false","28"
"HSDIPLOMAOREQUIVALENT","2014-2015","return true;","","","false","25"
"INTERESTEDINWORKSTUDY","2014-2015","return true;","","","false","33"
"ISSTUDENTMARRIED","2014-2015","return true;","","","false","63"
"LEGALSTATERESIDENCE","2014-2015","return true;","","","false","17"
"MAILINGADDRESS","2014-2015","return true;","","","false","3"
"MARITALSTATUSDATE","2014-2015","return true;","","","false","16"
"ORPHANWARDOFCOURTORFOSTERCARE","2014-2015","return true;","","","false","69"
"PARENT1DATEOFBIRTH","2014-2015","return true;","","","false","80"
"PARENT1FIRSTNAMEINITIAL","2014-2015","return true;","","","false","79"
"PARENT1HIGHESTGRADELEVELCOMPLETED","2014-2015","return true;","","","false","23"
"PARENT1INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false","104"
"PARENT1LASTNAME","2014-2015","return true;","","","false","78"
"PARENT1SOCIALSECURITYNUMBER","2014-2015","return true;","","","false","77"
"PARENT2DATEOFBIRTH","2014-2015","return true;","","","false","84"
"PARENT2FIRSTNAMEINITIAL","2014-2015","return true;","","","false","83"
"PARENT2HIGHESTGRADELEVELCOMPLETED","2014-2015","return true;","","","false","24"
"PARENT2INCOMEEARNEDFROMWORK","2014-2015","return true;","","","false","105"
"PARENT2LASTNAME","2014-2015","return true;","","","false","82"
"PARENT2SOCIALSECURITYNUMBER","2014-2015","return true;","","","false","81"
"PARENTDISLOCATEDWORKER","2014-2015","return true;","","","false","100"
"PARENTFOODSTAMPBENEFITS","2014-2015","return true;","","","false","92"
"PARENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","2014-2015","return true;","","","false","93"
"PARENTSADJUSTEDGROSSINCOMEFROMIRSFORM","2014-2015","return true;","","","false","101"
"PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH","2014-2015","return true;","","","false","108"
"PARENTSCASHSAVINGSANDCHECKING","2014-2015","return true;","","","false","106"
"PARENTSCHILDSUPPORTPAID","2014-2015","return true;","","","false","110"
"PARENTSCHILDSUPPORTRECEIVED","2014-2015","return true;","","","false","117"
"PARENTSCOMBATPAY","2014-2015","return true;","","","false","113"
"PARENTSCOOPERATIVEEDUCATION","2014-2015","return true;","","","false","114"
"PARENTSEDUCATIONALCREDITS","2014-2015","return true;","","","false","109"
"PARENTSELIGIBLETOFILE1040AOR1040EZ","2014-2015","return true;","","","false","99"
"PARENTSEMAILADDRESS","2014-2015","return true;","","","false","85"
"PARENTSEXEMPTIONSCLAIMED","2014-2015","return true;","","","false","103"
"PARENTSGRANTSCHOLARSHIPAID","2014-2015","return true;","","","false","112"
"PARENTSINTERESTINCOME","2014-2015","return true;","","","false","118"
"PARENTSINVESTMENTNETWORTH","2014-2015","return true;","","","false","107"
"PARENTSIRADISTRIBUTIONS","2014-2015","return true;","","","false","119"
"PARENTSIRAPAYMENTS","2014-2015","return true;","","","false","116"
"PARENTSLEGALRESIDENCEDATE","2014-2015","return true;","","","false","88"
"PARENTSLEGALRESIDENTSBEFORE","2014-2015","return true;","","","false","87"
"PARENTSMARITALSTATUS","2014-2015","return true;","","","false","75"
"PARENTSMARITALSTATUSDATE","2014-2015","return true;","","","false","76"
"PARENTSMILITARYCLERGYALLOWANCES","2014-2015","return true;","","","false","121"
"PARENTSNEEDBASEDEMPLOYMENT","2014-2015","return true;","","","false","111"
"PARENTSNUMBERINCOLLEGE","2014-2015","return true;","","","false","90"
"PARENTSNUMBEROFFAMILYMEMBERS","2014-2015","return true;","","","false","89"
"PARENTSOTHERUNTAXEDINCOME","2014-2015","return true;","","","false","123"
"PARENTSPENSIONPAYMENTS","2014-2015","return true;","","","false","115"
"PARENTSSTATEOFLEGALRESIDENCE","2014-2015","return true;","","","false","86"
"PARENTSTAXRETURNCOMPLETED","2014-2015","return true;","","","false","96"
"PARENTSTAXRETURNFILINGSTATUS","2014-2015","return true;","","","false","98"
"PARENTSTYPEOFTAXFORMUSED","2014-2015","return true;","","","false","97"
"PARENTSUNTAXEDPENSIONS","2014-2015","return true;","","","false","120"
"PARENTSUPPLEMENTALSECURITYINCOMEBENEFITS","2014-2015","return true;","","","false","91"
"PARENTSUSINCOMETAXPAID","2014-2015","return true;","","","false","102"
"PARENTSVETERANSNONEDUCATIONBENEFITS","2014-2015","return true;","","","false","122"
"PARENTTANFBENEFITS","2014-2015","return true;","","","false","94"
"PARENTWICBENEFITS","2014-2015","return true;","","","false","95"
"PERMANENTCITY","2014-2015","return true;","","","false","4"
"PERMANENTPHONENO","2014-2015","return true;","","","false","9"
"PERMANENTSTATE","2014-2015","return true;","","","false","5"
"PERMANENTZIPCODE","2014-2015","return true;","","","false","6"
"PREPARERSEMPLOYERIDENTIFICATIONNUMBEREIN","2014-2015","return true;","","","false","155"
"PREPARERSSIGNATURE","2014-2015","return true;","","","false","156"
"PREPARERSSOCIALSECURITYNUMBER","2014-2015","return true;","","","false","154"
"PROFESSIONALJUDGMENT","2014-2015","return true;","","","false","164"
"SIGNEDBY","2014-2015","return true;","","","false","153"
"SPOUSESINCOMEEARNEDFROMWORK","2014-2015","return true;","","","false","42"
"STUDENTELIGIBLETOFILE1040AOR1040EZ","2014-2015","return true;","","","false","37"
"STUDENTFIRSTNAME","2014-2015","return true;","","","false","1"
"STUDENTFOODSTAMPBENEFITS","2014-2015","return true;","","","false","127"
"STUDENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","2014-2015","return true;","","","false","128"
"STUDENTLASTNAME","2014-2015","return true;","","","false","0"
"STUDENTLEGALRESDATE","2014-2015","return true;","","","false","19"
"STUDENTMARITALSTATUS","2014-2015","return true;","","","false","15"
"STUDENTMIDDLEINITIAL","2014-2015","return true;","","","false","2"
"STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM","2014-2015","return true;","","","false","38"
"STUDENTSBUSINESSANDORINVESTMENTFARMNETWORTH","2014-2015","return true;","","","false","45"
"STUDENTSCASHSAVINGSANDCHECKING","2014-2015","return true;","","","false","43"
"STUDENTSCHILDSUPPORTPAID","2014-2015","return true;","","","false","47"
"STUDENTSCHILDSUPPORTRECEIVED","2014-2015","return true;","","","false","54"
"STUDENTSCOMBATPAY","2014-2015","return true;","","","false","50"
